model_name,f1,accuracy,precision,recall,true_positives,false_positives,true_negatives,false_negatives,timestamp
logistic-regression_n_grams_remove_stop_words_remove_dots_remove_duplicates_lemmatize_lowercase,0.402584248746684,0.8765957446808512,0.04820085320716102,0.3390243902439024,13.9,13.5,274.5,27.1,2024-05-13 19:30:04.223489

logistic-regression_n_grams_lemmatize_lowercase_remove_dots_remove_stop_words_remove_duplicates,0.45358048208364404,0.8844984802431611,0.05376417448671731,0.38048780487804873,15.6,12.6,275.4,25.4,2024-05-13 19:30:04.923155

logistic-regression_n_grams_lemmatize_remove_duplicates_remove_dots_remove_stop_words_lowercase,0.484230848969907,0.8872340425531915,0.059577054360786065,0.42439024390243907,17.4,13.5,274.5,23.6,2024-05-13 19:30:50.193356

logistic-regression_n_grams_remove_dots_remove_duplicates_lemmatize_lowercase_remove_stop_words,0.4079587701333648,0.8796352583586626,0.04704130750118145,0.3317073170731707,13.6,12.2,275.8,27.4,2024-05-13 19:30:53.555677

logistic-regression_n_grams_lemmatize_remove_stop_words_lowercase_remove_duplicates_remove_dots,0.4754751261715933,0.876595744680851,0.06317608846008224,0.4439024390243903,18.2,17.8,270.2,22.8,2024-05-13 19:30:59.414191

logistic-regression_n_grams_remove_dots_remove_duplicates_lowercase_lemmatize_remove_stop_words,0.463866955414721,0.8872340425531913,0.05457676309318228,0.38780487804878044,15.9,12.0,276.0,25.1,2024-05-13 19:31:03.854652

logistic-regression_n_grams_remove_dots_remove_duplicates_lowercase_remove_stop_words_lemmatize,0.3894165887324353,0.8601823708206687,0.05180160419323453,0.35609756097560974,14.6,19.6,268.4,26.4,2024-05-13 19:31:08.366431

logistic-regression_n_grams_remove_duplicates_lowercase_lemmatize_remove_dots_remove_stop_words,0.44636408109360576,0.8793313069908815,0.05500788453919656,0.38780487804878044,15.9,14.6,273.4,25.1,2024-05-13 19:31:08.928593

logistic-regression_n_grams_remove_dots_lemmatize_lowercase_remove_duplicates_remove_stop_words,0.44262106437359205,0.8854103343465045,0.051505376328997765,0.36585365853658536,15.0,11.7,276.3,26.0,2024-05-13 19:31:24.782653

logistic-regression_n_grams_remove_duplicates_lowercase_remove_dots_lemmatize_remove_stop_words,0.40210250278262094,0.8890577507598783,0.042408174777079435,0.30243902439024384,12.4,7.9,280.1,28.6,2024-05-13 19:31:27.914514

logistic-regression_n_grams_lowercase_remove_stop_words_lemmatize_remove_dots_remove_duplicates,0.39709407021130977,0.8775075987841946,0.04656649880586049,0.3268292682926829,13.4,12.7,275.3,27.6,2024-05-13 19:31:42.166136

logistic-regression_n_grams_lemmatize_remove_duplicates_lowercase_remove_dots_remove_stop_words,0.48495840900803644,0.8796352583586626,0.061558531058800305,0.4292682926829269,17.6,16.2,271.8,23.4,2024-05-13 19:31:42.629252

logistic-regression_n_grams_remove_dots_lemmatize_remove_stop_words_lowercase_remove_duplicates,0.46359363748040827,0.8924012158054712,0.0518289131751271,0.3707317073170731,15.2,9.6,278.4,25.8,2024-05-13 19:31:54.677385

logistic-regression_n_grams_remove_dots_remove_duplicates_lemmatize_remove_stop_words_lowercase,0.43056323869075686,0.8793313069908816,0.05233392123956234,0.36829268292682926,15.1,13.8,274.2,25.9,2024-05-13 19:32:01.077217

logistic-regression_n_grams_remove_stop_words_remove_duplicates_remove_dots_lowercase_lemmatize,0.3867376774274641,0.8604863221884498,0.051213140959498936,0.3536585365853658,14.5,19.4,268.6,26.5,2024-05-13 19:32:14.764842

logistic-regression_n_grams_remove_stop_words_lowercase_lemmatize_remove_dots_remove_duplicates,0.43896540478350116,0.880243161094225,0.053614900912597185,0.3780487804878049,15.5,13.9,274.1,25.5,2024-05-13 19:32:16.515701

logistic-regression_n_grams_lowercase_remove_dots_lemmatize_remove_duplicates_remove_stop_words,0.47901139691667305,0.8899696048632219,0.05635607722227306,0.39999999999999997,16.4,11.6,276.4,24.6,2024-05-13 19:32:18.152978

logistic-regression_n_grams_remove_duplicates_remove_stop_words_remove_dots_lemmatize_lowercase,0.47959309401894207,0.8796352583586625,0.06307589356869744,0.4439024390243903,18.2,16.8,271.2,22.8,2024-05-13 19:32:22.141560

logistic-regression_n_grams_lemmatize_remove_duplicates_remove_stop_words_remove_dots_lowercase,0.47912105412378647,0.8671732522796353,0.06578853688341509,0.4365853658536585,17.9,20.6,267.4,23.1,2024-05-13 19:32:21.445549

logistic-regression_n_grams_remove_stop_words_lowercase_remove_dots_lemmatize_remove_duplicates,0.3092327472237134,0.8595744680851063,0.03678757220664575,0.2536585365853659,10.4,15.6,272.4,30.6,2024-05-13 19:32:25.464725

logistic-regression_n_grams_remove_duplicates_lemmatize_remove_stop_words_remove_dots_lowercase,0.5075094181492242,0.8899696048632219,0.06331119333503729,0.451219512195122,18.5,13.7,274.3,22.5,2024-05-13 19:32:28.497721

logistic-regression_n_grams_lemmatize_remove_duplicates_remove_dots_remove_stop_words,0.45601306512370654,0.8802431610942248,0.05704867816711758,0.4024390243902439,16.5,14.9,273.1,24.5,2024-05-13 19:32:31.742820

logistic-regression_n_grams_lemmatize_remove_dots_remove_stop_words_lowercase_remove_duplicates,0.4823909423909424,0.8814589665653495,0.05980836077087488,0.41707317073170735,17.1,15.1,272.9,23.9,2024-05-13 19:32:47.530514

logistic-regression_n_grams_remove_dots_lowercase_remove_stop_words_lemmatize_remove_duplicates,0.4062735591098482,0.8732522796352583,0.050313354034012304,0.35121951219512193,14.4,15.1,272.9,26.6,2024-05-13 19:32:48.696640

logistic-regression_n_grams_lemmatize_remove_dots_remove_stop_words_remove_duplicates_lowercase,0.4440789366553902,0.86838905775076,0.06051646691187253,0.41951219512195126,17.2,19.5,268.5,23.8,2024-05-13 19:32:49.125129

